first_stage,second_stage,length_mm,eta_min,eta_mean,eta_max
v5_pair05,v5_pair05,16.5,0.10301841584235685,0.36618466221812923,0.9999462944266438
v5_pair05,v5_pair15,16.25,0.09156032180909161,0.3406353117932857,0.9950671857816811
v5_pair15,v6_l2_u1,6.0,0.18220368740217446,0.4392749206706389,0.8865818849045671
v5_pair15,v6_l2_u08,6.0,0.18394186622993064,0.43572281285664793,0.8848748061724981
v5_pair15,v6_l24_u15,7.0,0.15825940958631995,0.4269994185853273,0.9282735120523579
v5_pair15,v6_l24_u08,7.75,0.15218966350009747,0.4179412482931116,0.9498159027588503
v5_pair15,v6_uniform,6.75,0.16360432156816343,0.43136687344164276,0.9228920190459059
v5_pair15,v6_l24_u32,6.75,0.15353049654880785,0.4270446918603125,0.9363722671827225
v5_pair15,v5_h16off,6.75,0.1510559619680199,0.42662907211212686,0.9402105174031735
v5_pair15,v5_h15,7.5,0.14381466405848678,0.42153618609278937,0.9480852736190856
v5_pair15,v5_h17p5,8.25,0.16774203029840423,0.4131966275835342,0.9129052870249894
v5_pair15,v5_h12p5,8.5,0.11731999085975098,0.4009351364925701,0.9890028324203743
v5_pair15,v5_pair05,16.5,0.09156283381787435,0.34144053470203306,0.995017920332182
v5_pair15,v5_pair15,23.75,0.08187761496532976,0.2992200788444691,0.9977217276169384
