freq_GHz,P1_RL_dB,P2_RL_dB,P3_RL_dB,P4_RL_dB,Sigma_RL_dB,Delta1_RL_dB,Delta2_RL_dB,Delta3_RL_dB,worst_modal_conversion_dB
10.5,16.456754252627185,16.34412641931528,4.989935297176005,1.5953362757573992,1.1338602630146717,1.1636340931642643e-05,1.0920575604798775,0.17865525306615132,-6.863347176615546
10.525,16.553001735842106,16.439269941378726,4.962787524285658,1.6047244706014339,1.1372995054492994,1.127689103374566e-05,1.0891885691832446,0.17967852179232732,-6.864720319140726
10.55,16.65023491119578,16.535469827692918,4.936028809887587,1.6143156264868452,1.1407267752453496,1.083602548831315e-05,1.0862709808963862,0.18081108722709988,-6.866470903023018
10.575,16.748431882385056,16.63270786558186,4.909680695893205,1.6241177440743315,1.1441444469964077,1.0324812301635137e-05,1.0833058897018877,0.18205643562581292,-6.868600983006006
10.6,16.847569490099986,16.73096465976508,4.883764500485104,1.6341391157989174,1.1475553044527462,9.759701905136204e-06,1.0802944597581217,0.1834181205400317,-6.871111969474817
10.625,16.947623320194186,16.83021963479448,4.858301311489967,1.644388335232907,1.150962547971365,9.162491180320547e-06,1.0772379251786992,0.18489977401858523,-6.874004638694959
10.65,17.0485677126449,16.93045103764036,4.83331198238143,1.6548743073581318,1.1543698018092656,8.560060760423766e-06,1.07413759011152,0.18650511864252373,-6.877279143551247
10.675,17.150375770891312,17.03163594001912,4.808817130883625,1.6656062597967525,1.157781121324145,7.983870848373564e-06,1.0709948290198332,0.18823798040974365,-6.8809350247410475
10.7,17.25301937107379,17.13375023998944,4.784837140148471,1.676593755043975,1.1612010001543074,7.469206722313576e-06,1.0678110871630675,0.1901023024810729,-6.884971222375283
10.725,17.356469170630678,17.236768662269824,4.761392162481444,1.6878467037390323,1.1646343774567247,7.0541716920611155e-06,1.0645878812697602,0.19210215979545192,-6.88938608794345
10.75,17.460694615638577,17.340664756655503,4.738502125593395,1.6993753790029613,1.1680866452886527,6.77843282715539e-06,1.061326800388698,0.19424177455682004,-6.894177396599953
10.775,17.565663946209764,17.44541089382696,4.716186741359058,1.7111904318630808,1.171563656224416,6.681732714251147e-06,1.058029506897514,0.1965255325911244,-6.89934235973336
10.8,17.67134419918477,17.550978257754966,4.694465517065077,1.7233029077744833,1.1750717313053058,6.802188805997647e-06,1.0546977376402085,0.19895800056566854,-6.904877637782145
10.825,17.777701207273697,17.65733683380775,4.673357769133851,1.735724264238717,1.1786176684254086,7.174411095732938e-06,1.0513333051568363,0.20154394405844184,-6.910779353266303
10.85,17.884699593715144,17.764455391558112,4.652882639311178,1.7484663895082204,1.1822087512621846,7.827477839329385e-06,1.0479380989592275,0.2042883464583205,-6.917043104008567
10.875,17.992302761424618,17.872301461170665,4.633059113308507,1.7615416223534142,1.1858527588648586,8.782819406746965e-06,1.0445140867968603,0.20719642867119023,-6.923663976525973
10.9,18.100472875501083,17.980841302113266,4.613906041890987,1.7749627728561246,1.1895579760188295,1.0052070024472494e-05,1.0410633158466511,0.21027366959990443,-6.930636559579238
10.925,18.209170837844532,18.090039862790867,4.595442164403784,1.7887431441796955,1.193333204508411,1.1634958572153491e-05,1.037587913748921,0.21352582735903206,-6.937954957876116
10.95,18.31835625250917,18.19986072952885,4.577686134728372,1.8028965552510354,1.1971877754046367,1.351732086229145e-05,1.0340900894005014,0.21695896117641095,-6.945612805934863
10.975,18.427987380271492,18.310266063139768,4.560656549658855,1.817437364275424,1.2011315625088455,1.566932838813425e-05,1.0305721334035352,0.22057945392608275,-6.953603282124645
11.0,18.538021080729294,18.421216521090205,4.544371979685701,1.8323804929880292,1.205174997086928,1.8044042005503787e-05,1.0270364180556766,0.2243940352256167,-6.961919122912513
